Number;Name;Business;Country;EAD;LGD;PD;Default;A;B;C
1;Name  1;C;C;364942,6056;0,974349474;0,337867086;Poisson;0;0;1
2;Name  2;A;E;152655,3053;0,365311569;0,27242424;Poisson;1;0;0
3;Name  3;C;B;50036,01206;0,909595216;0,31668082;Poisson;0;0;1
4;Name  4;A;D;358122,6817;0,533788795;0,30408427;Poisson;1;0;0
5;Name  5;A;A;290868,3308;0,358988666;0,333424531;Poisson;1;0;0
6;Name  6;A;D;6144,486549;0,282938771;0,299940583;Poisson;1;0;0
7;Name  7;B;E;251473,6185;0,102906185;0,092244749;Poisson;0;1;0
8;Name  8;B;A;841591,4468;0,693618236;0,246929099;Poisson;0;1;0
9;Name  9;B;E;650275,5784;0,352724814;0,347578736;Poisson;0;1;0
10;Name  10;A;E;973882,8855;0,536336404;0,014583519;Poisson;1;0;0
11;Name  11;A;C;115826,4179;0,938724099;0,086254403;Poisson;1;0;0
12;Name  12;A;C;852720,054;0,57822363;0,075730085;Poisson;1;0;0
13;Name  13;C;B;205843,763;0,16730094;0,152738483;Poisson;0;0;1
14;Name  14;B;A;15568,63283;0,619051452;0,01801153;Poisson;0;1;0
15;Name  15;C;B;419191,2577;0,333296416;0,042475761;Poisson;0;0;1
16;Name  16;C;C;37752,22639;0,19707043;0,283916699;Poisson;0;0;1
17;Name  17;C;A;319641,8723;0,174028081;0,165420282;Poisson;0;0;1
18;Name  18;A;A;265254,7515;0,858408076;0,285931862;Poisson;1;0;0
19;Name  19;B;C;24710,92825;0,915054542;0,219217472;Poisson;0;1;0
20;Name  20;A;D;58539,37198;0,538909857;0,202880764;Poisson;1;0;0
21;Name  21;C;A;997351,0031;0,723544201;0,322775525;Poisson;0;0;1
22;Name  22;A;C;919664,5537;0,590203664;0,1842447;Poisson;1;0;0
23;Name  23;A;C;614251,9228;0,268074888;0,034753811;Poisson;1;0;0
24;Name  24;B;E;395161,1097;0,439705694;0,060624181;Poisson;0;1;0
25;Name  25;B;B;654343,8202;0,253018101;0,322234866;Poisson;0;1;0
26;Name  26;B;C;640918,577;0,305967026;0,296380783;Poisson;0;1;0
27;Name  27;B;A;361744,6199;0,169588917;0,326882951;Poisson;0;1;0
28;Name  28;C;C;384022,0148;0,296325345;0,215517375;Poisson;0;0;1
29;Name  29;C;B;174639,1555;0,686402616;0,261287287;Poisson;0;0;1
30;Name  30;C;B;837606,4757;0,53461086;0,046159107;Poisson;0;0;1
31;Name  31;C;A;694288,2508;0,316937381;0,286631559;Poisson;0;0;1
32;Name  32;C;E;497655,2934;0,835704116;0,101805828;Poisson;0;0;1
33;Name  33;C;E;480487,126;0,103830675;0,116895381;Poisson;0;0;1
34;Name  34;A;A;803445,2324;0,098583873;0,29129954;Poisson;1;0;0
35;Name  35;A;E;172066,1159;0,162557458;0,10326145;Poisson;1;0;0
36;Name  36;B;D;7221,660744;0,317884898;0,267002223;Poisson;0;1;0
37;Name  37;B;D;384191,3118;0,413048019;0,112992447;Poisson;0;1;0
38;Name  38;C;D;261561,3496;0,170767208;0,309840944;Poisson;0;0;1
39;Name  39;A;D;591661,2803;0,442652528;0,024144025;Poisson;1;0;0
40;Name  40;A;E;683006,8301;0,765678692;0,223086431;Poisson;1;0;0
41;Name  41;A;B;70893,88111;0,676012085;0,114020595;Poisson;1;0;0
42;Name  42;B;A;810398,6624;0,364882327;0,169458411;Poisson;0;1;0
43;Name  43;C;D;932057,1584;0,624793066;0,230276279;Poisson;0;0;1
44;Name  44;C;A;487862,163;0,772269307;0,307017472;Poisson;0;0;1
45;Name  45;B;A;303237,9913;0,769397553;0,025809088;Poisson;0;1;0
46;Name  46;B;A;871127,8659;0,45418853;0,249613328;Poisson;0;1;0
47;Name  47;C;B;703828,827;0,323812784;0,193865554;Poisson;0;0;1
48;Name  48;B;E;10391,51118;0,163539461;0,225770521;Poisson;0;1;0
49;Name  49;B;B;708330,0878;0,606265633;0,152535648;Poisson;0;1;0
50;Name  50;B;A;475665,9841;0,731474181;0,301454947;Poisson;0;1;0
51;Name  51;C;A;64586,64275;0,234541103;0,060315302;Poisson;0;0;1
52;Name  52;B;A;233719,0111;0,695279624;0,3458305;Poisson;0;1;0
53;Name  53;A;D;175880,386;0,064979065;0,036823696;Poisson;1;0;0
54;Name  54;C;D;703997,4941;0,274591927;0,250904667;Poisson;0;0;1
55;Name  55;A;C;439258,1849;0,992280063;0,139336569;Poisson;1;0;0
56;Name  56;A;A;760242,3618;0,56004308;0,251283;Poisson;1;0;0
57;Name  57;C;D;631384,6818;0,51225253;0,191876054;Poisson;0;0;1
58;Name  58;A;E;260869,2258;0,678728422;0,090998053;Poisson;1;0;0
59;Name  59;A;B;156618,8167;0,781819841;0,035271157;Poisson;1;0;0
60;Name  60;A;E;429583,1451;0,807330091;0,290834211;Poisson;1;0;0
61;Name  61;C;C;128995,4788;0,628521626;0,001355158;Poisson;0;0;1
62;Name  62;C;E;637577,6202;0,723200963;0,159991995;Poisson;0;0;1
63;Name  63;B;A;401906,9203;0,158051665;0,187283262;Poisson;0;1;0
64;Name  64;A;D;933150,3039;0,440536663;0,10145311;Poisson;1;0;0
65;Name  65;A;C;78201,58943;0,762909465;0,08745875;Poisson;1;0;0
66;Name  66;A;D;263079,3765;0,901008411;0,19927536;Poisson;1;0;0
67;Name  67;B;D;664661,8952;0,828062617;0,022353292;Poisson;0;1;0
68;Name  68;A;D;529054,1074;0,06927753;0,101359139;Poisson;1;0;0
69;Name  69;A;D;252321,6527;0,01281972;0,177930406;Poisson;1;0;0
70;Name  70;A;E;937694,296;0,596276167;0,313298055;Poisson;1;0;0
71;Name  71;A;C;616433,1539;0,878428;0,259133288;Poisson;1;0;0
72;Name  72;C;A;904717,8622;0,766273949;0,234624594;Poisson;0;0;1
73;Name  73;C;C;578365,1228;0,633250947;0,231036122;Poisson;0;0;1
74;Name  74;A;A;34152,31608;0,09629953;0,217972046;Poisson;1;0;0
75;Name  75;A;A;289983,4345;0,440074322;0,311446163;Poisson;1;0;0
76;Name  76;B;A;761676,2738;0,032010417;0,181380899;Poisson;0;1;0
77;Name  77;A;C;679290,4627;0,326919305;0,334663331;Poisson;1;0;0
78;Name  78;B;A;305430,5983;0,218158266;0,233238356;Poisson;0;1;0
79;Name  79;A;B;823431,7466;0,382484032;0,188626264;Poisson;1;0;0
80;Name  80;C;E;824861,0455;0,613702543;0,152075589;Poisson;0;0;1
81;Name  81;C;A;710398,4271;0,141028585;0,090407192;Poisson;0;0;1
82;Name  82;C;C;173590,945;0,30410709;0,239405888;Poisson;0;0;1
83;Name  83;B;B;681321,4505;0,993804104;0,338114757;Poisson;0;1;0
84;Name  84;B;D;957000,7146;0,928490806;0,008169649;Poisson;0;1;0
85;Name  85;A;E;651166,3052;0,586218634;0,052266534;Poisson;1;0;0
86;Name  86;C;E;153018,0827;0,288689207;0,037064172;Poisson;0;0;1
87;Name  87;C;B;83501,55901;0,074547132;0,262792336;Poisson;0;0;1
88;Name  88;C;B;127403,3051;0,740251161;0,196666788;Poisson;0;0;1
89;Name  89;A;C;130332,5484;0,293928275;0,079669437;Poisson;1;0;0
90;Name  90;B;E;741994,9957;0,186729935;0,31912046;Poisson;0;1;0
91;Name  91;A;E;595735,8615;0,218641618;0,191847816;Poisson;1;0;0
92;Name  92;A;E;408723,3294;0,030938919;0,029554717;Poisson;1;0;0
93;Name  93;A;C;936525,2063;0,638869548;0,281816041;Poisson;1;0;0
94;Name  94;A;B;290564,8464;0,531301515;0,333760536;Poisson;1;0;0
95;Name  95;A;C;821072,176;0,600484066;0,031715132;Poisson;1;0;0
96;Name  96;C;A;843019,7665;0,621711363;0,051960627;Poisson;0;0;1
97;Name  97;C;B;973624,0207;0,817325639;0,054435016;Poisson;0;0;1
98;Name  98;B;D;580940,1942;0,551398637;0,0041904;Poisson;0;1;0
99;Name  99;B;B;697295,5105;0,818242872;0,282123857;Poisson;0;1;0
100;Name  100;C;C;570310,5339;0,645060882;0,250645485;Poisson;0;0;1
101;Name  101;A;B;642773,8314;0,283097149;0,267858349;Poisson;1;0;0
102;Name  102;A;E;365774,7924;0,336410337;0,319717483;Poisson;1;0;0
103;Name  103;A;A;141497,4184;0,933659103;0,055593845;Poisson;1;0;0
104;Name  104;B;B;3701,115604;0,285518713;0,151744435;Poisson;0;1;0
105;Name  105;C;C;607190,4883;0,696663733;0,021737599;Poisson;0;0;1
106;Name  106;B;A;358464,9959;0,22019406;0,180186429;Poisson;0;1;0
107;Name  107;A;C;67057,30207;0,912195026;0,178911743;Poisson;1;0;0
108;Name  108;C;A;725879,9877;0,539965102;0,306314084;Poisson;0;0;1
109;Name  109;B;A;686696,7334;0,412022098;0,130513206;Poisson;0;1;0
110;Name  110;A;D;10088,31644;0,92747828;0,105066303;Poisson;1;0;0
111;Name  111;A;B;859124,9947;0,675369621;0,152549001;Poisson;1;0;0
112;Name  112;C;B;689079,1747;0,504618928;0,219289754;Poisson;0;0;1
113;Name  113;C;A;709527,7465;0,966735827;0,07447615;Poisson;0;0;1
114;Name  114;C;A;263166,1089;0,442459763;0,255122463;Poisson;0;0;1
115;Name  115;C;A;722800,6166;0,905493063;0,234230097;Poisson;0;0;1
116;Name  116;C;D;711002,0512;0,98060393;0,212307935;Poisson;0;0;1
117;Name  117;C;D;416741,5045;0,230554464;0,091537613;Poisson;0;0;1
118;Name  118;C;D;56314,16011;0,435867113;0,164748351;Poisson;0;0;1
119;Name  119;C;B;302850,2859;0,163059884;0,286249064;Poisson;0;0;1
120;Name  120;C;E;812281,3377;0,292227112;0,17652067;Poisson;0;0;1
121;Name  121;B;C;93841,3417;0,936586597;0,003587429;Poisson;0;1;0
122;Name  122;C;C;201438,644;0,531263068;0,020245849;Poisson;0;0;1
123;Name  123;B;C;796138,207;0,96541759;0,251756575;Poisson;0;1;0
124;Name  124;B;E;118379,3073;0,903045494;0,341751521;Poisson;0;1;0
125;Name  125;C;E;157395,1233;0,01710834;0,176087106;Poisson;0;0;1
126;Name  126;C;A;430209,3898;0,91159122;0,0168179;Poisson;0;0;1
127;Name  127;B;E;913786,6276;0,453503166;0,203184424;Poisson;0;1;0
128;Name  128;C;C;654933,8392;0,833358975;0,023543374;Poisson;0;0;1
129;Name  129;C;A;512934,9724;0,337163187;0,123323212;Poisson;0;0;1
130;Name  130;A;B;638035,553;0,687172148;0,152770034;Poisson;1;0;0
131;Name  131;A;E;131399,9982;0,017635938;0,07590047;Poisson;1;0;0
132;Name  132;B;A;878620,3555;0,670018216;0,10268471;Poisson;0;1;0
133;Name  133;A;B;615598,555;0,495804816;0,1609331;Poisson;1;0;0
134;Name  134;C;B;640001,7618;0,925164978;0,297433496;Poisson;0;0;1
135;Name  135;A;A;491811,0268;0,462695512;0,295989664;Poisson;1;0;0
136;Name  136;A;E;274427,1157;0,306388546;0,270492161;Poisson;1;0;0
