Number;Name;Business;Country;EAD;LGD;PD;Default;A;B;C
2514;Name  2514;B;B;997051,295;0,982832412;0,111804763;Bernoulli;0;1;0
208;Name  208;C;E;988331,6458;0,98691759;0,023245937;Bernoulli;0;0;1
890;Name  890;B;C;995623,8952;0,978066696;0,003083859;Bernoulli;0;1;0
1781;Name  1781;C;E;972858,2589;0,979866846;0,042408911;Bernoulli;0;0;1
477;Name  477;B;B;980344,684;0,97238071;0,319175154;Bernoulli;0;1;0
2308;Name  2308;C;E;960437,6452;0,988979646;0,301271116;Bernoulli;0;0;1
1117;Name  1117;A;A;977073,6335;0,968812272;0,097351238;Bernoulli;1;0;0
867;Name  867;A;C;971981,4484;0,973649275;0,208567597;Bernoulli;1;0;0
2227;Name  2227;B;B;995718,2222;0,949142119;0,338119119;Bernoulli;0;1;0
283;Name  283;C;B;953967,4658;0,987827031;0,044663371;Bernoulli;0;0;1
796;Name  796;B;A;981424,5075;0,950098233;0,023379818;Bernoulli;0;1;0
307;Name  307;A;D;973453,3483;0,95284176;0,345922308;Bernoulli;1;0;0
815;Name  815;A;E;938978,184;0,984306604;0,155987028;Bernoulli;1;0;0
2569;Name  2569;C;C;925043,9271;0,997676248;0,021384663;Bernoulli;0;0;1
1859;Name  1859;B;B;996655,4465;0,92495851;0,177222393;Bernoulli;0;1;0
1518;Name  1518;B;A;991142,5327;0,928166843;0,254784825;Bernoulli;0;1;0
2561;Name  2561;C;B;923450,229;0,987764291;0,298952068;Bernoulli;0;0;1
2216;Name  2216;B;C;970340,6785;0,938895999;0,146252025;Bernoulli;0;1;0
2386;Name  2386;A;D;916020,8943;0,993631416;0,029837447;Bernoulli;1;0;0
1049;Name  1049;C;E;991876,8261;0,916001495;0,057057583;Bernoulli;0;0;1
2952;Name  2952;C;E;946378,0446;0,959542549;0,083178898;Bernoulli;0;0;1
2233;Name  2233;B;E;948132,2691;0,954976646;0,132647475;Bernoulli;0;1;0
1957;Name  1957;B;A;965519,8039;0,937349704;0,227280776;Bernoulli;0;1;0
2300;Name  2300;A;C;984952,0382;0,9152814;0,125522517;Bernoulli;1;0;0
1511;Name  1511;C;A;971643,1916;0,927518707;0,04520644;Bernoulli;0;0;1
1025;Name  1025;C;D;913616,0204;0,985288344;0,273756847;Bernoulli;0;0;1
2920;Name  2920;B;E;998339,3861;0,900812094;0,058128971;Bernoulli;0;1;0
2860;Name  2860;C;A;984796,2526;0,912817999;0,202926004;Bernoulli;0;0;1
375;Name  375;A;D;942409,1471;0,953037223;0,122594437;Bernoulli;1;0;0
84;Name  84;B;D;957000,7146;0,928490806;0,008169649;Bernoulli;0;1;0
1262;Name  1262;A;B;989565,4572;0,896470934;0,322898733;Bernoulli;1;0;0
1362;Name  1362;B;B;979112,8718;0,903421852;0,250084414;Bernoulli;0;1;0
1577;Name  1577;B;D;966404,7009;0,910573604;0,071886901;Bernoulli;0;1;0
2170;Name  2170;C;B;996620,337;0,878960798;0,178350606;Bernoulli;0;0;1
2072;Name  2072;B;D;889079,4988;0,976456381;0,169946065;Bernoulli;0;1;0
1565;Name  1565;B;D;980881,8637;0,884984643;0,225596359;Bernoulli;0;1;0
